panchayat_id,panchayat_name,village_name,block_name,district_name,centroid_lat,centroid_lon,dist_to_coast_km,dist_to_water_km,historical_rain_bias,elevation_mean,elevation_std,elevation_min,elevation_max,slope_mean,aspect_mean,lulc_tree_pct,lulc_shrub_pct,lulc_grass_pct,lulc_crop_pct,lulc_urban_pct,lulc_water_pct,lulc_bare_pct,block_rain_mean,block_temp_max,block_temp_min,layer_b_deviation,layer_c_residual,downscaled_rain_pred,rain_ci_lower_80,rain_ci_upper_80,rain_ci_lower_95,rain_ci_upper_95,uncertainty_std,confidence_level,dominant_factor,forecast_source,forecast_status,forecast_issued_date,forecast_valid_date,forecast_source_url,observed_24h_mm,observed_24h_date,observed_24h_status,downscaled_tmax_pred,downscaled_tmin_pred,downscaled_rh_pred
MH_PUNE_556604,Kolambi,Kolambi,Velhe,Pune,18.25768,73.58602,72.31,41.14,10.8,829.4,66.4,729.8,929.0,14.0,202.7,48.0,18.0,8.0,18.0,3.0,5.0,0.0,20.0,29.5,21.0,4.67,-1.5011059724923783,22.67,17.87,27.2,15.33,29.67,3.89,MODERATE,Orographic Sahyadri Elevation Gradient,Manual demo override,MANUAL_OVERRIDE,,2026-09-09,,,,NOT_REQUESTED,27.7,19.2,69.1
MH_PUNE_556603,Jadhavwadi,Jadhavwadi,Velhe,Pune,18.26496,73.60353,74.21,39.3,9.2,956.5,76.5,841.7,1071.2,14.0,203.3,48.0,18.0,8.0,18.0,3.0,5.0,0.0,20.0,29.5,21.0,4.22,-1.6575952117998565,21.76,17.71,26.25,13.76,28.11,3.82,MODERATE,Orographic Sahyadri Elevation Gradient,Manual demo override,MANUAL_OVERRIDE,,2026-09-09,,,,NOT_REQUESTED,26.8,18.3,68.7
MH_PUNE_556607,Singapur,Singapur,Velhe,Pune,18.25686,73.52274,67.55,45.99,16.8,739.0,59.1,650.3,827.6,14.0,200.3,48.0,18.0,8.0,18.0,3.0,5.0,0.0,20.0,29.5,21.0,4.56,-0.9279885671037508,22.93,18.45,26.0,15.58,30.11,3.63,MODERATE,Orographic Sahyadri Elevation Gradient,Manual demo override,MANUAL_OVERRIDE,,2026-09-09,,,,NOT_REQUESTED,28.3,19.8,69.2
MH_PUNE_556608,Ekalgaon,Ekalgaon,Velhe,Pune,18.2444,73.54131,67.9,45.49,15.1,765.9,61.3,674.0,857.9,14.0,201.0,48.0,18.0,8.0,18.0,3.0,5.0,0.0,20.0,29.5,21.0,4.56,-1.1262102290233182,23.13,19.32,28.39,15.61,29.5,3.71,MODERATE,Orographic Sahyadri Elevation Gradient,Manual demo override,MANUAL_OVERRIDE,,2026-09-09,,,,NOT_REQUESTED,28.1,19.6,69.3
MH_PUNE_556611,Barshicha Mal,Barshicha Mal,Velhe,Pune,18.24997,73.60528,73.22,40.45,9.0,867.9,69.4,763.8,972.0,14.0,203.4,48.0,18.0,8.0,18.0,3.0,5.0,0.0,20.0,29.5,21.0,4.13,-1.684021602241529,22.05,18.43,25.53,13.62,29.69,3.99,MODERATE,Orographic Sahyadri Elevation Gradient,Manual demo override,MANUAL_OVERRIDE,,2026-09-09,,,,NOT_REQUESTED,27.5,19.0,68.8
MH_PUNE_556610,Varoti Kh,Varoti Kh,Velhe,Pune,18.23868,73.57401,69.94,43.56,12.0,662.2,53.0,582.7,741.7,14.0,202.2,48.0,18.0,8.0,18.0,3.0,5.0,0.0,20.0,29.5,21.0,4.54,-1.4210268243349549,22.57,17.8,26.25,15.2,29.96,3.79,MODERATE,Orographic Sahyadri Elevation Gradient,Manual demo override,MANUAL_OVERRIDE,,2026-09-09,,,,NOT_REQUESTED,28.8,20.3,69.0
MH_PUNE_556620,Pasali,Pasali,Velhe,Pune,18.23567,73.59739,71.55,42.21,9.7,686.8,54.9,604.5,769.2,14.0,203.1,48.0,18.0,8.0,18.0,3.0,5.0,0.0,20.0,29.5,21.0,4.54,-1.6257408150156842,22.46,18.69,26.42,14.97,29.05,3.7,MODERATE,Orographic Sahyadri Elevation Gradient,Manual demo override,MANUAL_OVERRIDE,,2026-09-09,,,,NOT_REQUESTED,28.7,20.2,69.0
MH_PUNE_556609,Bhordi,Bhordi,Velhe,Pune,18.2271,73.55044,67.24,46.19,14.2,781.1,62.5,687.4,874.9,14.0,201.4,48.0,18.0,8.0,18.0,3.0,5.0,0.0,20.0,29.5,21.0,4.56,-1.2439031953692958,22.82,18.91,26.91,15.11,30.32,3.77,MODERATE,Orographic Sahyadri Elevation Gradient,Manual demo override,MANUAL_OVERRIDE,,2026-09-09,,,,NOT_REQUESTED,28.0,19.5,69.1
MH_PUNE_556619,Shenvad,Shenvad,Velhe,Pune,18.23365,73.60982,72.39,41.57,8.6,683.1,54.7,601.1,765.2,14.0,203.6,48.0,18.0,8.0,18.0,3.0,5.0,0.0,20.0,29.5,21.0,4.54,-1.7325940607092503,22.25,17.36,26.12,14.59,29.55,3.89,MODERATE,Orographic Sahyadri Elevation Gradient,Manual demo override,MANUAL_OVERRIDE,,2026-09-09,,,,NOT_REQUESTED,28.7,20.2,68.9
MH_PUNE_556621,Majgaon,Majgaon,Velhe,Pune,18.22268,73.60558,71.26,42.81,9.0,686.5,54.9,604.1,768.8,14.0,203.4,48.0,18.0,8.0,18.0,3.0,5.0,0.0,20.0,29.5,21.0,4.54,-1.7034795163526522,22.34,19.02,26.11,14.14,29.46,3.9,MODERATE,Orographic Sahyadri Elevation Gradient,Manual demo override,MANUAL_OVERRIDE,,2026-09-09,,,,NOT_REQUESTED,28.7,20.2,68.9
MH_PUNE_556624,Pishawi,Pishawi,Velhe,Pune,18.21762,73.56227,67.44,46.14,13.1,771.8,61.7,679.3,864.4,14.0,201.8,48.0,18.0,8.0,18.0,3.0,5.0,0.0,20.0,29.5,21.0,4.56,-1.3584489058829385,22.71,18.67,26.64,14.03,29.26,3.75,MODERATE,Orographic Sahyadri Elevation Gradient,Manual demo override,MANUAL_OVERRIDE,,2026-09-09,,,,NOT_REQUESTED,28.1,19.6,69.1
MH_PUNE_556622,Nigde Kh,Nigde Kh,Velhe,Pune,18.20222,73.61064,70.24,44.34,8.5,641.5,51.3,564.6,718.5,14.0,203.6,48.0,18.0,8.0,18.0,3.0,5.0,0.0,20.0,29.5,21.0,4.54,-1.7544284873167486,22.14,18.03,25.66,14.88,29.07,3.74,MODERATE,Orographic Sahyadri Elevation Gradient,Manual demo override,MANUAL_OVERRIDE,,2026-09-09,,,,NOT_REQUESTED,29.0,20.5,68.9
MH_PUNE_556626,Pangari,Pangari,Velhe,Pune,18.19759,73.53264,63.63,49.88,15.9,677.9,54.2,596.6,759.2,14.0,200.7,48.0,18.0,8.0,18.0,3.0,5.0,0.0,20.0,29.5,21.0,4.55,-1.1719351642458204,22.98,19.47,26.48,14.38,28.92,3.62,MODERATE,Orographic Sahyadri Elevation Gradient,Manual demo override,MANUAL_OVERRIDE,,2026-09-09,,,,NOT_REQUESTED,28.7,20.2,69.2
MH_PUNE_556627,Karnavadi,Karnavadi,Velhe,Pune,18.19011,73.58115,66.96,47.26,11.3,421.3,33.7,370.8,471.9,3.0,202.5,48.0,18.0,8.0,18.0,3.0,5.0,0.0,20.0,29.5,21.0,4.43,-1.543923407627397,22.26,18.29,26.33,14.33,28.75,3.75,MODERATE,Rain-Shadow Plateau Topography,Manual demo override,MANUAL_OVERRIDE,,2026-09-09,,,,NOT_REQUESTED,30.4,21.9,68.9
MH_PUNE_556647,Lavhi Bk,Lavhi Bk,Velhe,Pune,18.27137,73.69692,82.15,32.98,0.3,672.9,53.8,592.2,753.6,14.0,206.8,48.0,18.0,8.0,18.0,3.0,5.0,0.0,20.0,29.5,21.0,3.41,-2.501701400495402,20.19,16.92,23.97,12.25,26.9,3.75,MODERATE,Orographic Sahyadri Elevation Gradient,Manual demo override,MANUAL_OVERRIDE,,2026-09-09,,,,NOT_REQUESTED,28.7,20.2,68.1
MH_PUNE_556741,Bhutonde,Bhutonde,Bhor,Pune,18.21809,73.66737,76.07,39.68,3.1,821.3,65.7,722.8,919.9,14.0,205.7,48.0,18.0,8.0,18.0,3.0,5.0,0.0,20.0,29.5,21.0,2.5,-2.186177090392093,19.89,14.74,23.23,11.54,27.8,3.92,MODERATE,Orographic Sahyadri Elevation Gradient,Manual demo override,MANUAL_OVERRIDE,,2026-09-09,,,,NOT_REQUESTED,27.7,19.2,68.0
MH_PUNE_556775,Bare Bk,Bare Bk,Bhor,Pune,18.18381,73.83052,88.66,38.55,-2.3,622.0,49.8,547.3,696.7,3.0,211.7,48.0,18.0,8.0,18.0,3.0,5.0,0.0,20.0,29.5,21.0,0.73,-3.0518071077831705,17.08,13.32,20.57,9.78,24.5,3.8,MODERATE,Orographic Sahyadri Elevation Gradient,Manual demo override,MANUAL_OVERRIDE,,2026-09-09,,,,NOT_REQUESTED,29.0,20.5,66.8
MH_PUNE_556686,Kurungvadi,Kurungvadi,Bhor,Pune,18.28463,73.83617,94.91,27.32,-2.5,749.7,60.0,659.7,839.7,3.0,211.9,48.0,18.0,8.0,18.0,3.0,5.0,0.0,20.0,29.5,21.0,0.64,-3.376596274286653,16.64,12.46,20.4,9.44,23.73,3.81,MODERATE,Orographic Sahyadri Elevation Gradient,Manual demo override,MANUAL_OVERRIDE,,2026-09-09,,,,NOT_REQUESTED,27.7,19.2,66.7
MH_PUNE_556630,Vanjale,Vanjale,Velhe,Pune,18.28482,73.69551,82.98,31.76,0.4,739.6,59.2,650.8,828.4,14.0,206.7,48.0,18.0,8.0,18.0,3.0,5.0,0.0,20.0,29.5,21.0,3.05,-2.5220644882847076,19.94,15.87,23.79,11.71,26.98,3.78,MODERATE,Orographic Sahyadri Elevation Gradient,Manual demo override,MANUAL_OVERRIDE,,2026-09-09,,,,NOT_REQUESTED,28.3,19.8,68.0
MH_PUNE_556685,Sonavadi,Sonavadi,Bhor,Pune,18.28019,73.82352,93.53,27.92,-2.2,745.1,59.6,655.7,834.5,3.0,211.5,48.0,18.0,8.0,18.0,3.0,5.0,0.0,20.0,29.5,21.0,0.64,-3.310212505846254,16.63,13.01,20.42,9.14,23.17,3.6,MODERATE,Orographic Sahyadri Elevation Gradient,Manual demo override,MANUAL_OVERRIDE,,2026-09-09,,,,NOT_REQUESTED,27.7,19.2,66.7
MH_PUNE_556645,Kondhavali,Kondhavali,Velhe,Pune,18.28154,73.70868,83.83,31.39,-0.2,761.8,60.9,670.4,853.1,3.0,207.2,48.0,18.0,8.0,18.0,3.0,5.0,0.0,20.0,29.5,21.0,2.53,-2.6227427554456106,19.18,14.8,22.95,11.23,26.42,3.84,MODERATE,Orographic Sahyadri Elevation Gradient,Manual demo override,MANUAL_OVERRIDE,,2026-09-09,,,,NOT_REQUESTED,28.1,19.6,67.7
MH_PUNE_556657,Ketkavane,Ketkavane,Velhe,Pune,18.28052,73.77286,89.16,28.91,-1.3,820.4,65.6,722.0,918.8,3.0,209.6,48.0,18.0,8.0,18.0,3.0,5.0,0.0,20.0,29.5,21.0,0.64,-3.0644966624179744,16.92,12.78,20.94,8.96,23.86,3.8,MODERATE,Orographic Sahyadri Elevation Gradient,Manual demo override,MANUAL_OVERRIDE,,2026-09-09,,,,NOT_REQUESTED,27.2,18.7,66.8
MH_PUNE_556642,Margasani,Margasani,Velhe,Pune,18.27528,73.75806,87.55,29.94,-1.0,676.9,54.2,595.6,758.2,3.0,209.0,48.0,18.0,8.0,18.0,3.0,5.0,0.0,20.0,29.5,21.0,0.64,-2.9555941577742795,17.1,13.55,20.65,8.99,23.56,3.67,MODERATE,Orographic Sahyadri Elevation Gradient,Manual demo override,MANUAL_OVERRIDE,,2026-09-09,,,,NOT_REQUESTED,28.7,20.2,66.8
MH_PUNE_556644,Sakhar,Sakhar,Velhe,Pune,18.27374,73.72881,84.97,31.23,-0.5,645.2,51.6,567.8,722.6,3.0,208.0,48.0,18.0,8.0,18.0,3.0,5.0,0.0,20.0,29.5,21.0,0.64,-2.753269569460103,17.27,12.99,22.01,9.72,24.13,3.8,MODERATE,Orographic Sahyadri Elevation Gradient,Manual demo override,MANUAL_OVERRIDE,,2026-09-09,,,,NOT_REQUESTED,28.9,20.4,66.9
MH_PUNE_556643,Askavadi,Askavadi,Velhe,Pune,18.27717,73.74095,86.23,30.38,-0.7,653.4,52.3,575.0,731.9,3.0,208.4,48.0,18.0,8.0,18.0,3.0,5.0,0.0,20.0,29.5,21.0,0.64,-2.8500258493692368,17.31,13.53,21.34,9.56,23.95,3.78,MODERATE,Orographic Sahyadri Elevation Gradient,Manual demo override,MANUAL_OVERRIDE,,2026-09-09,,,,NOT_REQUESTED,28.8,20.3,66.9
MH_PUNE_556658,Karanjavane,Karanjavane,Velhe,Pune,18.27155,73.78282,89.44,29.6,-1.5,653.6,52.3,575.1,732.0,3.0,210.0,48.0,18.0,8.0,18.0,3.0,5.0,0.0,20.0,29.5,21.0,0.64,-3.085154957418937,17.04,13.68,21.19,9.54,23.89,3.78,MODERATE,Orographic Sahyadri Elevation Gradient,Manual demo override,MANUAL_OVERRIDE,,2026-09-09,,,,NOT_REQUESTED,28.8,20.3,66.8
MH_PUNE_556614,Vajeghar Bk,Vajeghar Bk,Velhe,Pune,18.2731,73.67501,80.48,34.01,2.4,701.0,56.1,616.8,785.1,14.0,206.0,48.0,18.0,8.0,18.0,3.0,5.0,0.0,20.0,29.5,21.0,2.87,-2.320335254533789,19.99,15.99,23.53,13.2,26.6,3.48,MODERATE,Orographic Sahyadri Elevation Gradient,Manual demo override,MANUAL_OVERRIDE,,2026-09-09,,,,NOT_REQUESTED,28.6,20.1,68.0
MH_PUNE_556615,Pal Bk,Pal Bk,Velhe,Pune,18.26752,73.66459,79.24,35.14,3.4,722.9,57.8,636.2,809.6,14.0,205.6,48.0,18.0,8.0,18.0,3.0,5.0,0.0,20.0,29.5,21.0,2.75,-2.2205602048226183,19.72,16.53,23.95,12.17,26.26,3.55,MODERATE,Orographic Sahyadri Elevation Gradient,Manual demo override,MANUAL_OVERRIDE,,2026-09-09,,,,NOT_REQUESTED,28.4,19.9,67.9
MH_PUNE_556648,Vajeghar Kh,Vajeghar Kh,Velhe,Pune,18.27224,73.68574,81.3,33.49,1.4,677.8,54.2,596.5,759.1,14.0,206.4,48.0,18.0,8.0,18.0,3.0,5.0,0.0,20.0,29.5,21.0,2.87,-2.4109326157297724,19.95,15.52,23.74,11.09,26.57,3.8,MODERATE,Orographic Sahyadri Elevation Gradient,Manual demo override,MANUAL_OVERRIDE,,2026-09-09,,,,NOT_REQUESTED,28.7,20.2,68.0
MH_PUNE_556661,Ambavane,Ambavane,Velhe,Pune,18.26684,73.80258,90.87,29.69,-1.8,665.6,53.2,585.8,745.4,3.0,210.7,48.0,18.0,8.0,18.0,3.0,5.0,0.0,20.0,29.5,21.0,0.64,-3.1663079546962325,16.93,13.11,20.6,9.8,23.89,3.63,MODERATE,Orographic Sahyadri Elevation Gradient,Manual demo override,MANUAL_OVERRIDE,,2026-09-09,,,,NOT_REQUESTED,28.7,20.2,66.8
MH_PUNE_556646,Meravane,Meravane,Velhe,Pune,18.2721,73.71155,83.42,32.18,-0.2,655.2,52.4,576.6,733.8,3.0,207.3,48.0,18.0,8.0,18.0,3.0,5.0,0.0,20.0,29.5,21.0,2.89,-2.619505602524714,19.57,16.03,23.89,11.42,26.5,3.86,MODERATE,Orographic Sahyadri Elevation Gradient,Manual demo override,MANUAL_OVERRIDE,,2026-09-09,,,,NOT_REQUESTED,28.8,20.3,67.8
MH_PUNE_556697,Jambhali,Jambhali,Bhor,Pune,18.26213,73.84995,94.78,29.79,-2.7,666.6,53.3,586.6,746.5,3.0,212.4,48.0,18.0,8.0,18.0,3.0,5.0,0.0,20.0,29.5,21.0,0.64,-3.338368366200938,16.65,12.33,20.98,8.92,23.36,3.81,MODERATE,Orographic Sahyadri Elevation Gradient,Manual demo override,MANUAL_OVERRIDE,,2026-09-09,,,,NOT_REQUESTED,28.7,20.2,66.7
MH_PUNE_556652,Phanshi,Phanshi,Velhe,Pune,18.26123,73.71094,82.63,33.29,-0.2,688.0,55.0,605.5,770.5,3.0,207.3,48.0,18.0,8.0,18.0,3.0,5.0,0.0,20.0,29.5,21.0,2.89,-2.5865308754657512,19.66,15.63,23.17,12.27,26.2,3.64,MODERATE,Orographic Sahyadri Elevation Gradient,Manual demo override,MANUAL_OVERRIDE,,2026-09-09,,,,NOT_REQUESTED,28.6,20.1,67.9
MH_PUNE_556699,Sangvi Bk,Sangvi Bk,Bhor,Pune,18.26326,73.81859,92.06,29.85,-2.1,646.4,51.7,568.8,723.9,3.0,211.3,48.0,18.0,8.0,18.0,3.0,5.0,0.0,20.0,29.5,21.0,0.64,-3.2239868708207906,16.81,13.31,20.98,9.55,23.39,3.66,MODERATE,Orographic Sahyadri Elevation Gradient,Manual demo override,MANUAL_OVERRIDE,,2026-09-09,,,,NOT_REQUESTED,28.9,20.4,66.7
MH_PUNE_556655,Bhaginghar,Bhaginghar,Velhe,Pune,18.26357,73.7441,85.6,31.66,-0.8,681.7,54.5,599.9,763.4,3.0,208.5,48.0,18.0,8.0,18.0,3.0,5.0,0.0,20.0,29.5,21.0,0.64,-2.826206002902566,17.36,13.77,21.2,9.24,24.14,3.82,MODERATE,Orographic Sahyadri Elevation Gradient,Manual demo override,MANUAL_OVERRIDE,,2026-09-09,,,,NOT_REQUESTED,28.6,20.1,66.9
MH_PUNE_556654,Ghavar,Ghavar,Velhe,Pune,18.26331,73.73241,84.58,32.15,-0.6,729.1,58.3,641.7,816.6,3.0,208.1,48.0,18.0,8.0,18.0,3.0,5.0,0.0,20.0,29.5,21.0,0.64,-2.74682839891052,17.28,13.35,21.67,9.78,24.47,3.8,MODERATE,Orographic Sahyadri Elevation Gradient,Manual demo override,MANUAL_OVERRIDE,,2026-09-09,,,,NOT_REQUESTED,28.3,19.8,66.9
MH_PUNE_556653,Chirmodi,Chirmodi,Velhe,Pune,18.26023,73.72344,83.62,32.83,-0.4,775.5,62.0,682.5,868.5,3.0,207.8,48.0,18.0,8.0,18.0,3.0,5.0,0.0,20.0,29.5,21.0,0.64,-2.6751232268744145,17.28,13.33,21.55,10.02,23.88,3.72,MODERATE,Orographic Sahyadri Elevation Gradient,Manual demo override,MANUAL_OVERRIDE,,2026-09-09,,,,NOT_REQUESTED,28.0,19.5,66.9
