panchayat_id,panchayat_name,village_name,block_name,district_name,centroid_lat,centroid_lon,dist_to_coast_km,dist_to_water_km,historical_rain_bias,elevation_mean,elevation_std,elevation_min,elevation_max,slope_mean,aspect_mean,lulc_tree_pct,lulc_shrub_pct,lulc_grass_pct,lulc_crop_pct,lulc_urban_pct,lulc_water_pct,lulc_bare_pct,block_rain_mean,block_temp_max,block_temp_min,layer_b_deviation,layer_c_residual,downscaled_rain_pred,rain_ci_lower_80,rain_ci_upper_80,rain_ci_lower_95,rain_ci_upper_95,uncertainty_std,confidence_level,dominant_factor,downscaled_tmax_pred,downscaled_tmin_pred,downscaled_rh_pred
MH_487_551096,Waghyachiwadi,Waghyachiwadi,Igatpuri,Nashik,19.62456,73.57243,84.72,35.36,40.5,789.6,55.3,723.3,856.0,14.5,210.0,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,3.06,-2.068901437648285,22.93,18.51,27.61,13.61,29.69,4.23,MODERATE,Orographic Sahyadri Elevation Gradient,27.9,19.4,69.2
MH_487_551105,Kurungwadi,Kurungwadi,Igatpuri,Nashik,19.60888,73.62907,89.95,38.25,32.2,755.0,52.8,691.6,818.3,14.5,212.4,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,3.06,-1.9952232680941595,23.0,18.82,27.89,14.53,30.66,4.14,MODERATE,Orographic Sahyadri Elevation Gradient,28.1,19.6,69.2
MH_487_551099,Kaluste,Kaluste,Igatpuri,Nashik,19.65201,73.63224,91.61,33.76,31.7,755.0,52.8,691.6,818.4,14.5,212.6,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,3.06,-1.9123301804069381,23.17,19.25,26.98,14.9,30.22,4.02,MODERATE,Orographic Sahyadri Elevation Gradient,28.1,19.6,69.3
MH_487_551102,Nirpan,Nirpan,Igatpuri,Nashik,19.63783,73.65177,93.1,35.93,3.3,742.6,52.0,680.2,805.0,14.5,213.4,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,3.06,-1.9197387729330369,23.25,18.54,27.99,14.25,30.2,4.13,MODERATE,Orographic Sahyadri Elevation Gradient,28.2,19.7,69.3
MH_487_551100,Bharwaj,Bharwaj,Igatpuri,Nashik,19.66025,73.65508,94.17,33.75,3.3,741.7,51.9,679.4,803.9,14.5,213.5,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,3.06,-1.8917730418299084,23.05,18.42,27.48,14.95,30.34,4.11,MODERATE,Orographic Sahyadri Elevation Gradient,28.2,19.7,69.2
MH_487_551101,Manjargaon,Manjargaon,Igatpuri,Nashik,19.65782,73.67119,95.69,34.68,2.9,731.9,51.2,670.5,793.3,14.5,214.2,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,3.06,-1.8867780101210203,22.99,17.95,27.6,14.23,30.75,4.22,MODERATE,Orographic Sahyadri Elevation Gradient,28.3,19.8,69.2
MH_487_551106,Ambewadi,Ambewadi,Igatpuri,Nashik,19.61169,73.6675,93.92,39.24,3.0,732.0,51.2,670.6,793.5,14.5,214.0,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,3.06,-1.9472649135380495,23.02,17.9,27.17,14.49,30.58,4.15,MODERATE,Orographic Sahyadri Elevation Gradient,28.3,19.8,69.2
MH_487_551107,Khadked,Khadked,Igatpuri,Nashik,19.61785,73.69353,96.73,39.7,2.4,716.7,50.2,656.4,776.9,14.5,215.1,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,3.06,-1.9171480889001238,22.99,19.12,27.67,14.5,30.75,4.11,MODERATE,Orographic Sahyadri Elevation Gradient,28.4,19.9,69.2
MH_487_551125,Kanadwadi,Kanadwadi,Igatpuri,Nashik,19.64879,73.68956,97.24,36.43,2.5,720.5,50.4,660.0,780.9,14.5,215.0,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,3.06,-1.8856827735152162,23.11,18.07,27.99,14.73,30.89,4.31,MODERATE,Orographic Sahyadri Elevation Gradient,28.4,19.9,69.2
MH_487_551108,Indore,Indore,Igatpuri,Nashik,19.62467,73.71219,98.82,39.91,2.0,705.8,49.4,646.5,765.1,14.5,215.9,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,3.06,-1.8961990943490215,22.86,18.47,27.5,14.21,30.05,4.23,MODERATE,Orographic Sahyadri Elevation Gradient,28.5,20.0,69.1
MH_487_551124,Pardeshiwadi,Pardeshiwadi,Igatpuri,Nashik,19.67419,73.69114,98.24,34.03,2.4,720.7,50.4,660.2,781.1,14.5,215.0,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,3.06,-1.868194372787246,22.93,18.1,26.55,14.58,30.91,4.09,MODERATE,Orographic Sahyadri Elevation Gradient,28.4,19.9,69.2
MH_487_551138,Ramnagar,Ramnagar,Igatpuri,Nashik,19.6336,73.75313,103.21,39.82,1.1,681.6,47.7,624.4,738.9,14.5,217.6,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,3.06,-1.8620019529240537,23.29,19.08,29.06,14.77,30.55,4.15,MODERATE,Orographic Sahyadri Elevation Gradient,28.6,20.1,69.3
MH_487_551134,Sonoshi,Sonoshi,Igatpuri,Nashik,19.65626,73.77528,106.11,37.14,0.6,669.4,46.9,613.1,725.6,14.5,218.6,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,3.06,-1.8347108968717627,23.23,19.21,26.91,13.98,31.42,4.37,MODERATE,Orographic Sahyadri Elevation Gradient,28.7,20.2,69.3
MH_487_551133,Maidara Dhanoshi,Maidara Dhanoshi,Igatpuri,Nashik,19.67449,73.78941,108.08,35.08,0.2,661.7,46.3,606.1,717.3,14.5,219.2,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,3.06,-1.8186138673251873,23.13,18.01,27.21,14.76,31.3,4.24,MODERATE,Orographic Sahyadri Elevation Gradient,28.8,20.3,69.3
MH_487_551137,Wasali,Wasali,Igatpuri,Nashik,19.63739,73.73714,101.7,39.6,1.4,691.4,48.4,633.3,749.5,14.5,217.0,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,3.06,-1.8689853441549777,23.17,18.97,27.59,14.69,30.6,4.15,MODERATE,Orographic Sahyadri Elevation Gradient,28.6,20.1,69.3
MH_487_551135,Barshingave,Barshingave,Igatpuri,Nashik,19.65344,73.75663,104.14,37.59,1.0,680.4,47.6,623.3,737.5,14.5,217.8,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,3.06,-1.8468714688898398,23.15,18.86,27.32,14.46,31.35,4.21,MODERATE,Orographic Sahyadri Elevation Gradient,28.6,20.1,69.3
MH_487_551126,Khed,Khed,Igatpuri,Nashik,19.66018,73.71128,99.78,36.44,2.0,707.9,49.6,648.4,767.5,14.5,215.9,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,3.06,-1.8664430829426109,23.07,17.81,27.34,14.44,31.17,4.34,MODERATE,Orographic Sahyadri Elevation Gradient,28.5,20.0,69.2
MH_487_551127,Adharwad,Adharwad,Igatpuri,Nashik,19.68402,73.73472,102.91,34.51,1.5,695.0,48.6,636.6,753.3,14.5,216.9,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,3.06,-1.8434128515424149,23.15,19.37,27.4,14.01,31.08,4.34,MODERATE,Orographic Sahyadri Elevation Gradient,28.5,20.0,69.3
MH_487_551089,Avachitwadi,Avachitwadi,Igatpuri,Nashik,19.67735,73.6445,93.72,31.57,29.6,748.8,52.4,685.9,811.7,14.5,213.1,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,3.41,-1.884393942072846,23.46,19.04,27.86,13.9,30.81,4.2,MODERATE,Orographic Sahyadri Elevation Gradient,28.2,19.7,69.4
MH_487_551136,Rahulnagar,Rahulnagar,Igatpuri,Nashik,19.65539,73.74719,103.25,37.48,1.2,686.2,48.0,628.6,743.8,14.5,217.4,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,3.06,-1.8509240768262818,23.0,18.46,26.81,14.77,30.76,4.2,MODERATE,Orographic Sahyadri Elevation Gradient,28.6,20.1,69.2
MH_487_551028,Karhole,Karhole,Igatpuri,Nashik,19.79599,73.58303,91.27,16.95,39.2,791.0,55.4,724.5,857.5,14.5,210.5,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,2.32,-2.2918100077550223,22.07,18.12,25.97,12.48,28.83,4.07,MODERATE,Orographic Sahyadri Elevation Gradient,27.6,19.1,68.8
MH_487_551031,Ondli,Ondli,Igatpuri,Nashik,19.8015,73.55031,87.8,15.55,42.8,810.9,56.8,742.7,879.0,14.5,209.1,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,2.76,-2.4701317721115044,21.99,17.07,26.82,12.88,29.31,4.28,MODERATE,Orographic Sahyadri Elevation Gradient,27.4,18.9,68.8
MH_487_551033,Dhargaon,Dhargaon,Igatpuri,Nashik,19.78526,73.51028,84.14,17.33,44.9,834.2,58.4,764.1,904.2,14.5,207.4,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,2.32,-2.597734911427092,21.43,17.79,25.65,12.5,28.97,4.21,MODERATE,Orographic Sahyadri Elevation Gradient,27.3,18.8,68.6
MH_487_551022,Mhasurli,Mhasurli,Igatpuri,Nashik,19.82896,73.53442,85.56,12.36,43.9,821.7,57.5,752.7,890.7,14.5,208.4,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,2.33,-2.6901950236165106,21.64,16.17,25.4,12.36,30.29,4.36,MODERATE,Orographic Sahyadri Elevation Gradient,27.4,18.9,68.7
MH_487_551032,Nagosali,Nagosali,Igatpuri,Nashik,19.80611,73.53443,86.06,14.9,43.9,820.6,57.4,751.7,889.5,14.5,208.4,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,2.33,-2.5736463176293087,21.56,17.23,25.35,13.37,30.22,4.32,MODERATE,Orographic Sahyadri Elevation Gradient,27.4,18.9,68.6
MH_487_551034,Walvihir,Walvihir,Igatpuri,Nashik,19.76851,73.53687,87.3,19.08,43.8,817.5,57.2,748.8,886.1,14.5,208.5,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,2.33,-2.372675283941643,21.74,16.93,25.96,13.62,29.83,4.32,MODERATE,Orographic Sahyadri Elevation Gradient,27.4,18.9,68.7
MH_487_551078,Tringalwadi,Tringalwadi,Igatpuri,Nashik,19.73626,73.54626,86.67,22.72,43.1,810.4,56.7,742.3,878.4,14.5,208.9,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,2.76,-2.1646908296859713,22.44,17.95,26.7,13.25,30.28,4.23,MODERATE,Orographic Sahyadri Elevation Gradient,27.4,18.9,69.0
MH_487_551083,Chinchale Khair,Chinchale Khair,Igatpuri,Nashik,19.72306,73.50706,82.33,24.24,45.0,833.3,58.3,763.3,903.3,14.5,207.3,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,2.32,-2.3616926208687383,21.63,17.54,25.89,13.26,29.01,4.04,MODERATE,Orographic Sahyadri Elevation Gradient,27.3,18.8,68.7
MH_487_551080,Balayduri,Balayduri,Igatpuri,Nashik,19.71504,73.59069,89.95,25.81,38.2,782.8,54.8,717.0,848.5,14.5,210.8,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,3.41,-1.9280622807404864,23.14,18.09,27.37,14.17,31.35,4.34,MODERATE,Orographic Sahyadri Elevation Gradient,27.6,19.1,69.3
MH_487_551084,Awal Khed,Awal Khed,Igatpuri,Nashik,19.71743,73.53084,84.32,24.75,44.2,818.8,57.3,750.0,887.5,14.5,208.3,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,2.33,-2.1799706654981947,21.9,17.2,26.47,12.88,29.75,4.29,MODERATE,Orographic Sahyadri Elevation Gradient,27.4,18.9,68.8
MH_487_551079,Pardevi,Pardevi,Igatpuri,Nashik,19.72028,73.5766,88.82,24.91,40.0,791.5,55.4,725.0,857.9,14.5,210.2,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,2.32,-1.9651980705379883,22.18,18.18,26.22,12.97,29.45,4.13,MODERATE,Orographic Sahyadri Elevation Gradient,27.6,19.1,68.9
MH_487_551085,Titoli,Titoli,Igatpuri,Nashik,19.69303,73.58816,88.78,28.13,38.5,783.3,54.8,717.5,849.1,14.5,210.7,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,3.41,-1.8888662841340742,23.29,18.25,28.61,14.66,31.07,4.32,MODERATE,Orographic Sahyadri Elevation Gradient,27.6,19.1,69.3
MH_487_551087,Bortembhe,Bortembhe,Igatpuri,Nashik,19.69638,73.60519,90.58,28.21,36.1,773.2,54.1,708.3,838.1,14.5,211.4,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,3.41,-1.8915316707818153,23.5,19.17,28.09,14.77,30.95,4.28,MODERATE,Orographic Sahyadri Elevation Gradient,27.7,19.2,69.4
MH_487_551086,Takeghoti,Takeghoti,Igatpuri,Nashik,19.7072,73.60084,90.6,26.93,36.7,776.3,54.3,711.2,841.5,14.5,211.2,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,3.41,-1.9051350217849383,23.43,19.69,28.2,15.08,31.19,4.29,MODERATE,Orographic Sahyadri Elevation Gradient,27.7,19.2,69.4
MH_487_551077,Adwan,Adwan,Igatpuri,Nashik,19.73242,73.59648,91.27,24.11,37.4,780.1,54.6,714.5,845.6,14.5,211.1,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,2.32,-1.9799302626057813,22.22,17.78,26.22,14.44,29.66,3.93,MODERATE,Orographic Sahyadri Elevation Gradient,27.7,19.2,68.9
MH_487_551038,Pimpalgaon Bhatata,Pimpalgaon Bhatata,Igatpuri,Nashik,19.75437,73.57241,90.01,21.11,40.5,795.5,55.7,728.7,862.3,14.5,210.0,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,2.32,-2.1392952149135014,21.81,18.17,26.51,13.38,29.19,4.0,MODERATE,Orographic Sahyadri Elevation Gradient,27.6,19.1,68.7
MH_487_551040,Dharnoli,Dharnoli,Igatpuri,Nashik,19.74555,73.59092,91.34,22.54,38.1,784.0,54.9,718.1,849.9,14.5,210.8,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,2.32,-2.0425769413721837,22.2,17.32,26.47,12.35,29.65,4.26,MODERATE,Orographic Sahyadri Elevation Gradient,27.6,19.1,68.9
MH_487_551035,Bhavli Bk,Bhavli Bk,Igatpuri,Nashik,19.77851,73.57156,90.54,18.48,40.6,797.1,55.8,730.1,864.1,14.5,210.0,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,2.32,-2.2589221733299816,21.95,17.55,26.04,14.12,29.86,4.07,MODERATE,Orographic Sahyadri Elevation Gradient,27.5,19.0,68.8
MH_487_551030,Saturli,Saturli,Igatpuri,Nashik,19.8029,73.56461,89.23,15.67,41.4,802.4,56.2,734.9,869.8,14.5,209.7,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,2.76,-2.4075815394591604,22.02,18.04,27.04,12.48,29.89,4.41,MODERATE,Orographic Sahyadri Elevation Gradient,27.5,19.0,68.8
MH_487_551029,Awali Dumala,Awali Dumala,Igatpuri,Nashik,19.80289,73.57365,90.15,15.91,40.4,796.9,55.8,730.0,863.9,14.5,210.1,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,2.32,-2.3651917885409666,21.68,16.59,26.72,12.97,29.24,4.33,MODERATE,Orographic Sahyadri Elevation Gradient,27.6,19.1,68.7
MH_487_551037,Korapgaon,Korapgaon,Igatpuri,Nashik,19.76813,73.58649,92.0,20.0,38.7,787.7,55.1,721.6,853.8,14.5,210.6,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,2.32,-2.153666406448587,21.91,17.25,25.79,13.69,29.29,4.09,MODERATE,Orographic Sahyadri Elevation Gradient,27.6,19.1,68.8
MH_487_551039,Kurnoli,Kurnoli,Igatpuri,Nashik,19.7581,73.60056,92.84,21.53,36.8,778.8,54.5,713.4,844.2,14.5,211.2,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,2.32,-2.0689543485646023,22.05,18.14,26.97,13.82,29.42,4.11,MODERATE,Orographic Sahyadri Elevation Gradient,27.7,19.2,68.8
MH_487_551064,Waki,Waki,Igatpuri,Nashik,19.7477,73.6173,93.95,23.25,34.2,768.3,53.8,703.7,832.8,14.5,211.9,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,2.32,-1.995843661965892,22.34,18.28,26.67,13.11,29.99,4.34,MODERATE,Orographic Sahyadri Elevation Gradient,27.7,19.2,68.9
MH_487_551063,Biturli,Biturli,Igatpuri,Nashik,19.7625,73.6185,94.75,21.8,34.0,768.2,53.8,703.7,832.8,14.5,212.0,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,2.32,-2.0401752399235153,22.08,17.6,27.1,13.57,30.29,4.3,MODERATE,Orographic Sahyadri Elevation Gradient,27.7,19.2,68.8
MH_487_551027,Rayambe,Rayambe,Igatpuri,Nashik,19.78947,73.59802,92.96,18.19,37.1,781.7,54.7,716.1,847.4,14.5,211.1,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,2.32,-2.2033954325282017,21.83,17.34,26.68,13.71,29.27,4.19,MODERATE,Orographic Sahyadri Elevation Gradient,27.6,19.1,68.7
MH_487_551025,Ahurli,Ahurli,Igatpuri,Nashik,19.82231,73.58279,90.67,14.2,39.2,792.3,55.5,725.7,858.9,14.5,210.5,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,2.32,-2.4100154100076243,21.85,17.28,26.48,13.09,29.07,4.03,MODERATE,Orographic Sahyadri Elevation Gradient,27.6,19.1,68.7
MH_487_551026,Nandadgaon,Nandadgaon,Igatpuri,Nashik,19.81822,73.5944,91.94,15.12,37.7,785.2,55.0,719.2,851.2,14.5,211.0,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,2.32,-2.336635174763327,21.79,17.37,25.93,13.08,29.32,4.21,MODERATE,Orographic Sahyadri Elevation Gradient,27.6,19.1,68.7
MH_487_551036,Kawanai,Kawanai,Igatpuri,Nashik,19.78905,73.61934,95.15,19.21,33.8,768.9,53.8,704.3,833.5,14.5,212.0,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,2.32,-2.1260855098203546,22.05,17.61,26.27,12.82,29.37,4.28,MODERATE,Orographic Sahyadri Elevation Gradient,27.7,19.2,68.8
MH_487_551024,Wanjole,Wanjole,Igatpuri,Nashik,19.83167,73.57111,89.28,12.79,40.7,799.8,56.0,732.6,867.0,14.5,210.0,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,2.48,-2.5119500326664816,21.92,17.52,25.91,12.61,29.96,4.37,MODERATE,Orographic Sahyadri Elevation Gradient,27.5,19.0,68.8
MH_487_551041,Kusegaon,Kusegaon,Igatpuri,Nashik,19.86674,73.57807,89.4,9.57,39.8,797.2,55.8,730.2,864.1,14.5,210.3,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,2.32,-2.6300233130836124,21.45,17.79,25.27,12.93,29.15,4.07,MODERATE,Orographic Sahyadri Elevation Gradient,27.5,19.0,68.6
MH_487_551042,Shirsate,Shirsate,Igatpuri,Nashik,19.8654,73.6043,92.14,11.36,36.2,781.4,54.7,715.7,847.0,14.5,211.4,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,2.32,-2.462039709876647,21.88,17.6,25.75,13.35,29.34,4.2,MODERATE,Orographic Sahyadri Elevation Gradient,27.7,19.2,68.8
MH_487_551043,Modale,Modale,Igatpuri,Nashik,19.85848,73.62139,94.01,13.17,33.5,770.8,54.0,706.0,835.6,14.5,212.1,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,2.32,-2.3380832031110317,21.69,16.95,25.4,13.33,29.21,4.05,MODERATE,Orographic Sahyadri Elevation Gradient,27.7,19.2,68.7
MH_487_551052,Sanjegaon,Sanjegaon,Igatpuri,Nashik,19.82806,73.61544,93.91,15.32,34.5,773.0,54.1,708.1,837.9,14.5,211.8,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,2.32,-2.274069457106166,21.8,17.44,25.92,12.83,29.32,4.27,MODERATE,Orographic Sahyadri Elevation Gradient,27.7,19.2,68.7
MH_487_551054,Mundegaon,Mundegaon,Igatpuri,Nashik,19.77727,73.65185,98.61,22.13,3.3,748.9,52.4,686.0,811.7,14.5,213.4,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,2.32,-1.9996963291919625,22.46,17.85,26.64,13.22,29.58,4.21,MODERATE,Orographic Sahyadri Elevation Gradient,27.9,19.4,69.0
MH_487_551081,Senvad Bk,Senvad Bk,Igatpuri,Nashik,19.68921,73.66121,95.8,31.08,3.1,739.3,51.8,677.1,801.4,14.5,213.8,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,3.41,-1.8768807667926146,23.28,18.05,27.23,15.08,31.54,4.14,MODERATE,Orographic Sahyadri Elevation Gradient,28.3,19.8,69.3
MH_487_551082,Khairgaon,Khairgaon,Igatpuri,Nashik,19.70456,73.66773,97.03,29.88,3.0,736.1,51.5,674.3,797.9,14.5,214.0,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,3.41,-1.8773110118606646,23.37,19.23,27.74,15.83,30.79,3.97,MODERATE,Orographic Sahyadri Elevation Gradient,28.3,19.8,69.3
MH_487_551076,Deole,Deole,Igatpuri,Nashik,19.72007,73.65409,96.31,27.69,3.3,744.9,52.1,682.4,807.5,14.5,213.5,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,3.41,-1.8970715174012776,23.21,18.41,27.13,14.61,30.65,4.12,MODERATE,Orographic Sahyadri Elevation Gradient,27.9,19.4,69.3
MH_487_551088,Kanchangaon,Kanchangaon,Igatpuri,Nashik,19.68884,73.64077,93.77,30.24,30.3,751.5,52.6,688.4,814.7,14.5,212.9,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,3.41,-1.8834807884450209,23.35,19.69,27.67,14.53,30.85,4.11,MODERATE,Orographic Sahyadri Elevation Gradient,28.2,19.7,69.3
